icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
ab1644,UAL439  ,United States,1739497724.0,1739497724,-104.8198,39.9815,3688.08,False,159.58,143.39,-4.88,,3688.08,3663.0,False,0,2025-02-13 20:48:50
e8027c,LPE2012 ,Chile,1739497724.0,1739497724,-76.0833,-12.104,9113.52,False,179.57,57.99,-1.95,,,,False,0,2025-02-13 20:48:50
c81bd2,ZKJMR   ,New Zealand,1739497724.0,1739497724,175.5071,-40.204,2682.24,False,56.86,138.67,-0.65,,2811.78,,False,0,2025-02-13 20:48:50
408120,VIR58N  ,United Kingdom,1739497724.0,1739497724,-69.935,43.1194,6522.72,False,262.58,57.4,4.88,,6393.18,3350.0,False,0,2025-02-13 20:48:50
aa56db,UAL442  ,United States,1739497724.0,1739497724,-87.6263,42.7542,10363.2,False,187.42,262.27,0.0,,10012.68,3342.0,False,0,2025-02-13 20:48:50
a7b08d,LXJ595  ,United States,1739497724.0,1739497724,-74.1329,40.8186,426.72,False,91.16,249.52,0.98,,419.1,2313.0,False,0,2025-02-13 20:48:50
aa56da,UAL1637 ,United States,1739497724.0,1739497724,-106.9644,38.1773,8839.2,False,242.2,50.26,0.33,,8938.26,1636.0,False,0,2025-02-13 20:48:50
7c6b2d,JST534  ,Australia,1739497723.0,1739497724,144.6241,-37.5476,3124.2,False,145.81,12.22,16.91,,3131.82,3615.0,False,0,2025-02-13 20:48:50
ad19bc,EJA943  ,United States,1739497724.0,1739497724,-84.1094,35.0168,13716.0,False,170.41,191.14,-0.33,,13975.08,7132.0,False,0,2025-02-13 20:48:50
801645,AIC401  ,India,1739497723.0,1739497724,79.4925,27.201,10050.78,False,271.77,119.23,0.33,,10378.44,,False,0,2025-02-13 20:48:50
842194,ADO58   ,Japan,1739497724.0,1739497724,140.0125,35.2741,1203.96,False,124.82,299.1,-0.65,,1188.72,3450.0,False,0,2025-02-13 20:48:50
a3b87f,DAL2548 ,United States,1739497724.0,1739497724,-83.7709,39.5633,10050.78,False,217.67,181.35,0.0,,9936.48,4114.0,False,0,2025-02-13 20:48:50
880454,AIQ3072 ,Thailand,1739497723.0,1739497724,99.8406,12.9036,11582.4,False,221.97,193.81,0.0,,12321.54,4260.0,False,0,2025-02-13 20:48:50
a57b1e,ERY45   ,United States,1739497489.0,1739497491,-80.292,25.9125,-60.96,False,62.35,86.69,-3.9,,0.0,4657.0,False,0,2025-02-13 20:48:50
