city,timestamp,temperature,humidity,pressure,wind_speed,weather_main,weather_description
New York,2025-02-13 20:41:07,5.3,57,1020,12.35,Clouds,broken clouds
Los Angeles,2025-02-13 20:41:07,12.96,95,1014,7.72,Rain,moderate rain
Chicago,2025-02-13 20:41:07,-11.35,70,1036,4.63,Clear,clear sky
Houston,2025-02-13 20:41:07,11.5,58,1029,7.2,Clouds,overcast clouds
Phoenix,2025-02-13 20:41:07,16.45,51,1015,2.68,Rain,light rain
Philadelphia,2025-02-13 20:41:07,3.86,59,1023,8.23,Clear,clear sky
San Antonio,2025-02-13 20:41:07,7.85,54,1030,5.66,Clouds,overcast clouds
San Diego,2025-02-13 20:41:07,14.27,91,1017,9.77,Clouds,overcast clouds
Dallas,2025-02-13 20:41:07,2.48,61,1032,2.06,Clouds,overcast clouds
San Jose,2025-02-13 20:41:07,13.03,86,1006,5.66,Rain,moderate rain
Austin,2025-02-13 20:41:07,5.16,57,1031,6.17,Clouds,overcast clouds
Jacksonville,2025-02-13 20:41:07,17.95,88,1025,4.12,Clouds,broken clouds
Fort Worth,2025-02-13 20:41:07,1.93,57,1032,3.09,Clear,clear sky
Columbus,2025-02-13 20:41:07,-4.61,70,1033,9.77,Clear,clear sky
San Francisco,2025-02-13 20:41:07,12.56,90,1004,7.6,Clouds,overcast clouds
Charlotte,2025-02-13 20:41:07,9.68,90,1028,2.57,Clouds,scattered clouds
Indianapolis,2025-02-13 20:41:07,-7.49,69,1037,5.66,Clear,clear sky
Seattle,2025-02-13 20:41:07,0.81,80,998,3.09,Haze,haze
Denver,2025-02-13 20:41:07,-2.11,61,1014,0.89,Clouds,broken clouds
Washington D.C.,2025-02-13 20:41:07,4.12,60,1026,4.02,Clouds,few clouds
Boston,2025-02-13 20:41:07,3.29,89,1013,6.69,Clouds,broken clouds
El Paso,2025-02-13 20:41:07,16.26,31,1018,3.09,Clouds,broken clouds
Nashville,2025-02-13 20:41:07,-1.4,72,1037,6.17,Clouds,broken clouds
Detroit,2025-02-13 20:41:07,-6.42,75,1030,10.8,Haze,haze
